patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Hưng Dương,225808989195,26/06/1954,0976386932,wmai@example.net,"338 Thành Phú Phạm, 895667",Khỏe mạnh,5.37,Quý cô Yến Bùi,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Cô Ngọc Đặng,590260982086,27/08/1948,0581686290,wnguyen@example.com,"18 Quý cô Hải Trần JohnPhường, 338968",Tiểu đường,11.77,Trung Phạm,18/06/2026
7412b293-4729-4739-a14f-f3d719db3ad0,Bà Lâm Lê,368002955218,03/01/1964,0325657820,john72@example.org,"64 Ông Nhiên Dương, 380746",Tim mạch,5.28,Quý cô Yến Phạm,20/06/2026
a7cad415-366e-416f-908e-bad7b7c93acf,Bà Kim Vũ,661600097780,18/07/1971,0893568607,jane33@example.org,"6 Bà Lâm Trần, 214975",Tim mạch,5.31,Quý cô Chi Bùi,26/04/2026
988c24c9-61b1-4d22-a280-1c4510435a10,Bảo Lê,882462429525,31/01/1951,0751784792,tmai@example.org,"4 Nhật Vũ, 665579",Tiểu đường,4.8,Bảo Thế Đặng,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Ông Thành Vũ,336590924585,10/04/1968,0308058936,duongjane@example.com,"Dương Nguyễn
89 Châu Lê, 847581",Tiểu đường,11.61,Thảo Nguyễn,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Phúc Lê,220623550086,10/05/1938,0336021384,john14@example.net,"105 Trung Mai Bảo Phạm, 238739",Tim mạch,5.54,Phương Phạm,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Chị Thành Phạm,791634800208,12/11/1942,0827471562,jane63@example.net,"338 Hà Đức Vũ, 179046",Tim mạch,7.22,Hồng Đặng,12/06/2026
ed2662e9-17e0-41b7-b810-238303c72ba8,An Hữu Vũ,565346572832,02/01/2001,0532351449,johnmai@example.net,"74 Kim Phạm, 161324",Huyết áp cao,5.87,Lâm Dương,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Cô Kim Dương,333365688441,13/10/1960,0573769757,duongjohn@example.org,"939 Chị Thảo Hoàng, 802258",Khỏe mạnh,9.69,Hà Hoàng Mai,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Bà Dương Mai,289556949274,06/02/1949,0567572868,johnhoang@example.net,"354 Cô Vi Hoàng, 377312",Huyết áp cao,6.95,Quý cô Xuân Trần,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Ánh Lê,137222301077,25/12/2001,0524099620,dangjohn@example.org,"427 Hạnh Đức Đặng JohnXã, 137778",Tiểu đường,9.86,Quý ông Khoa Dương,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Cô Nhật Lê,968276689168,31/01/1964,0776840424,jane23@example.org,"2 Dũng Mai, 872343",Tiểu đường,8.76,Linh Nguyễn,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Thảo Nguyễn,826581300138,07/10/1965,0797889382,john99@example.net,"036 Chị Hà Trần, 634150",Tiểu đường,8.07,Nhật Thế Hoàng,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Quý ông Vũ Vũ,977975413710,21/08/1994,0549988164,john83@example.org,"06 Chị Thành Lê, 446239",Tiểu đường,9.81,Bà Linh Lê,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Quý cô Dương Hoàng,197414300435,08/08/1961,0339334195,jane18@example.org,"80 Khoa Vũ, 563246",Khỏe mạnh,8.19,Anh Trung Mai,04/06/2026
bc67f831-cbc8-4759-b5b7-8cc7e6b3c944,Bà Hải Hoàng,299918806219,10/02/1981,0933205208,lejohn@example.com,"037 Nhật Đặng, 355836",Tiểu đường,6.51,Bà Phương Đặng,12/02/2026
b227462c-f53d-4330-8dda-24ba2d06e8cf,Chị Hải Dương,267650776024,04/01/1952,0358093742,phamjohn@example.net,"98 Anh Tùng Bùi, 888295",Khỏe mạnh,6.47,Quý cô Lan Hoàng,05/04/2026
709b7d97-464c-44af-bd3f-3799a07295e9,Yến Hoàng,159605160437,29/05/1967,0991600812,dangjane@example.com,"23 Chị Hải Trần, 165290",Tiểu đường,8.57,Hạnh Hải Mai,16/05/2026
c3fe0183-e172-4725-9b52-ca5805000bc6,Phương Văn Vũ,052638564579,19/02/1976,0384727820,sbui@example.com,"34 Phúc Bùi, 812131",Tim mạch,9.14,Quý cô Phương Trần,28/06/2026
88bc539c-9f4c-4b79-bb10-987f20ac3703,Bác Dũng Phạm,925886046869,08/03/1939,0787222128,nguyenjane@example.com,"53 Dũng Tấn Mai, 364525",Tim mạch,5.29,Linh Nguyễn,26/05/2026
f3b1025b-fff9-4585-8d55-7b618a175dfe,Trung Hoàng,311351132628,19/09/1939,0714284860,john72@example.org,"19 Ngọc Hoàng, 736745",Tiểu đường,3.89,Bác Quang Đặng,21/01/2026
4fdc6e1b-edcb-4cb6-8692-dc639424aed5,Chị Kim Bùi,381276137235,18/07/1968,0795434462,jane07@example.org,"6 Quý cô Hải Mai, 554582",Huyết áp cao,11.3,An Nguyễn,04/02/2026
a6846099-f729-4951-8591-31d2bbda0242,Thành Tấn Phạm,984591753826,18/04/2001,0712280031,janevu@example.com,"473 Bà Mai Lê, 992288",Khỏe mạnh,8.83,Bác Nam Nguyễn,10/03/2026
4797b2c9-5720-4246-8223-623bcc3ebdde,Hoàng Văn Vũ,208940359842,21/10/2005,0593736512,phamjane@example.net,"7 Quý ông Khoa Trần, 825391",Khỏe mạnh,7.03,Phương Văn Nguyễn,13/03/2026
58007c02-87ea-4ff5-8db0-674679279973,Ông Châu Hoàng,450958246151,31/03/1997,0944229078,tranjane@example.net,"823 Hưng Văn Dương, 410636",Khỏe mạnh,3.75,Bác Minh Đặng,03/01/2026
